Country,Cases(words),Cases(num),Cases(today),Recovered,Death(word),Death(num),Death(today)
United States,3.34Cr,"3,34,00,000","15,110",-,5.98L,"5,98,000",373
India,2.91Cr,"2,91,00,000","92,596",3.54L,2.75Cr,"2,75,00,000","+1,63,000"
Brazil,1.7Cr,"1,70,00,000","52,911",4.77L,1.51Cr,"1,51,00,000","35,950"
France,57.2L,"57,20,000","6,018",-,1.1L,"1,10,000",46
Turkey,53L,"53,00,000","6,559","48,341",51.7L,"51,70,000",86
Russia,50.9L,"50,90,000","9,843",1.22L,47L,"47,00,000","8,778"
United Kingdom,45.3L,"45,30,000","5,966",-,1.28L,"1,28,000",13
Italy,42.4L,"42,40,000","1,894",1.27L,39.3L,"39,30,000","8,519"
Argentina,40.1L,"40,10,000","31,137","82,667",35.9L,"35,90,000","25,663"
Germany,37.1L,"37,10,000","2,253","89,497",35.6L,"35,60,000","8,020"
Spain,37.1L,"37,10,000",,-,"80,309","80,309",
Colombia,36.1L,"36,10,000","18,586","92,923",33.7L,"33,70,000","24,507"
Iran,29.8L,"29,80,000","8,846","81,362",25.8L,"25,80,000","12,291"
Poland,28.8L,"28,80,000",401,"74,255",26.5L,"26,50,000",463
Mexico,24.4L,"24,40,000","3,449",2.29L,19.4L,"19,40,000","2,354"
Ukraine,22.8L,"22,80,000","1,736","53,420",21.6L,"21,60,000","6,856"
Peru,19.8L,"19,80,000",,1.87L,19.4L,"19,40,000",
Indonesia,18.7L,"18,70,000","6,294","51,992",17.2L,"17,20,000","5,805"
South Africa,17L,"17,00,000","4,209","57,183",15.9L,"15,90,000","5,475"
Netherlands,16.7L,"16,70,000","1,419",-,"17,695","17,695",14
Czechia,16.6L,"16,60,000",391,"30,193",16.3L,"16,30,000",800
Chile,14.4L,"14,40,000","5,533","30,104",13.6L,"13,60,000",46
Canada,14L,"14,00,000","1,271","25,791",13.5L,"13,50,000",30
Philippines,12.8L,"12,80,000","4,769","22,064",12L,"12,00,000","7,076"
Iraq,12.3L,"12,30,000","4,119","16,589",11.5L,"11,50,000","4,770"
Sweden,10.8L,"10,80,000","2,671",-,"14,546","14,546",23
Romania,10.8L,"10,80,000",202,"31,155",10.4L,"10,40,000",200
Belgium,10.7L,"10,70,000",904,-,"25,051","25,051",10
Pakistan,9.36L,"9,36,000","1,118","21,453",8.7L,"8,70,000","2,244"
Portugal,8.54L,"8,54,000",598,"17,037",8.13L,"8,13,000",790
Israel,8.4L,"8,40,000",,"6,418",8.33L,"8,33,000",
Bangladesh,8.15L,"8,15,000","2,322","12,913",7.55L,"7,55,000","2,062"
Hungary,8.06L,"8,06,000",117,"29,883",7.19L,"7,19,000","1,323"
Japan,7.66L,"7,66,000","1,883","13,705",7.1L,"7,10,000","3,572"
Jordan,7.4L,"7,40,000",912,"9,530",7.23L,"7,23,000",
Serbia,7.14L,"7,14,000",214,-,"6,930","6,930",6
Switzerland,6.99L,"6,99,000",429,"10,844",3.18L,"3,18,000",3
Austria,6.47L,"6,47,000",243,"10,647",6.32L,"6,32,000",575
Malaysia,6.28L,"6,28,000","5,566","3,536",5.41L,"5,41,000","6,962"
Nepal,5.95L,"5,95,000","3,870","8,098",5.05L,"5,05,000","6,570"
United Arab Emirates,5.87L,"5,87,000","2,205","1,704",5.67L,"5,67,000","2,168"
Lebanon,5.42L,"5,42,000",173,"7,774",5.25L,"5,25,000",565
Morocco,5.22L,"5,22,000",473,"9,187",5.1L,"5,10,000",383
Saudi Arabia,4.6L,"4,60,000","1,261","7,488",4.43L,"4,43,000",922
Kazakhstan,4.53L,"4,53,000","1,119","3,482",4.22L,"4,22,000","1,867"
Ecuador,4.33L,"4,33,000",246,"20,831",3.99L,"3,99,000",17
Bulgaria,4.2L,"4,20,000",178,"17,860",3.87L,"3,87,000",723
Greece,4.12L,"4,12,000","1,368","12,331","93,764","93,764",30
Belarus,4.01L,"4,01,000",597,"2,929",3.93L,"3,93,000",493
Bolivia,3.93L,"3,93,000","5,813","15,177",3.11L,"3,11,000","4,521"
Slovakia,3.91L,"3,91,000",95,"12,423",2.55L,"2,55,000",9
Panama,3.84L,"3,84,000",882,"6,408",3.69L,"3,69,000",620
Paraguay,3.79L,"3,79,000","3,135","10,145",3.12L,"3,12,000","2,485"
Tunisia,3.58L,"3,58,000","1,433","13,126",3.15L,"3,15,000","1,751"
Croatia,3.58L,"3,58,000",178,"8,096",3.48L,"3,48,000",195
Georgia,3.5L,"3,50,000","1,023","4,951",3.35L,"3,35,000",510
Azerbaijan,3.35L,"3,35,000",102,"4,947",3.27L,"3,27,000",273
Costa Rica,3.34L,"3,34,000","1,900","4,251",2.53L,"2,53,000","3,479"
Uruguay,3.23L,"3,23,000","4,195","4,749",2.83L,"2,83,000","4,010"
Kuwait,3.2L,"3,20,000","1,581","1,801",3.04L,"3,04,000","1,244"
Palestine,3.11L,"3,11,000",,"3,520",3.02L,"3,02,000",
Dominican Republic,3.03L,"3,03,000","1,004","3,672",2.47L,"2,47,000","1,046"
Denmark,2.87L,"2,87,000",377,"2,520",2.73L,"2,73,000",870
Lithuania,2.77L,"2,77,000",216,"4,317",2.61L,"2,61,000",964
Ethiopia,2.73L,"2,73,000",151,"4,220",2.48L,"2,48,000",619
Egypt,2.7L,"2,70,000",773,"15,437",1.98L,"1,98,000",551
Guatemala,2.64L,"2,64,000","1,581","8,331",2.41L,"2,41,000","1,157"
Slovenia,2.56L,"2,56,000",220,"4,391",2.48L,"2,48,000",322
Moldova,2.56L,"2,56,000",40,"6,141",2.48L,"2,48,000",83
Ireland,2.55L,"2,55,000",,"4,941","23,364","23,364",
Bahrain,2.54L,"2,54,000","1,279","1,161",2.33L,"2,33,000","2,367"
Venezuela,2.45L,"2,45,000","1,679","2,750",2.25L,"2,25,000","1,478"
Honduras,2.43L,"2,43,000",419,"6,532","86,418","86,418",37
Oman,2.27L,"2,27,000","1,553","2,434",2.06L,"2,06,000",721
Armenia,2.23L,"2,23,000",73,"4,463",2.15L,"2,15,000",105
Qatar,2.19L,"2,19,000",182,570,2.16L,"2,16,000",264
Sri Lanka,2.11L,"2,11,000","2,682","1,844",1.78L,"1,78,000","2,214"
Bosnia and Herzegovina,2.04L,"2,04,000",45,"9,460",1.77L,"1,77,000",114
Libya,1.88L,"1,88,000",243,"3,149",1.74L,"1,74,000",242
Thailand,1.83L,"1,83,000","2,662","1,297","26,873","26,873",28
Kenya,1.73L,"1,73,000",433,"3,326",1.19L,"1,19,000",395
Nigeria,1.67L,"1,67,000",102,"2,117",1.63L,"1,63,000",69
North Macedonia,1.55L,"1,55,000",23,"5,462",1.5L,"1,50,000",32
Cuba,1.51L,"1,51,000","1,156","1,033",1.44L,"1,44,000","1,031"
South Korea,1.46L,"1,46,000",601,"1,977",1.36L,"1,36,000",762
Myanmar (Burma),1.45L,"1,45,000",123,"3,228",1.33L,"1,33,000",90
Latvia,1.35L,"1,35,000",256,"2,423",1.29L,"1,29,000",132
Albania,1.32L,"1,32,000",13,"2,452",1.3L,"1,30,000",34
Algeria,1.32L,"1,32,000",364,"3,537","91,651","91,651",238
Estonia,1.3L,"1,30,000",86,"1,264",1.25L,"1,25,000",275
Norway,1.27L,"1,27,000",188,784,"17,998","17,998",
Kyrgyzstan,1.08L,"1,08,000",379,"1,859",1.01L,"1,01,000",311
Kosovo,1.07L,"1,07,000",,"2,250",1.04L,"1,04,000",
Uzbekistan,1.02L,"1,02,000",199,699,"98,129","98,129",268
Zambia,1.02L,"1,02,000","1,231","1,321","93,992","93,992",298
Montenegro,"99,848","99,848",14,"1,596","97,685","97,685",64
Ghana,"94,228","94,228",,787,"92,362","92,362",
Finland,"93,394","93,394",113,959,"46,000","46,000",
China (Mainland),"91,316","91,316",,,"4,636","86,267",
Afghanistan,"82,326","82,326","1,485","3,251","59,569","59,569",571
Cameroon,"79,904","79,904",975,"1,302","35,261","35,261",27
El Salvador,"74,983","74,983",842,"2,279","69,867","69,867",652
Mozambique,"71,165","71,165",20,839,"69,687","69,687",1
Luxembourg,"70,291","70,291",35,818,"68,775","68,775",11
Maldives,"68,872","68,872",370,189,"51,213","51,213","1,369"
Mongolia,"67,710","67,710",,318,"54,713","54,713",
Singapore,"62,219","62,219",9,34,"61,702","61,702",42
Namibia,"59,814","59,814",722,936,"52,646","52,646",256
Botswana,"58,095","58,095",,885,"53,887","53,887",
Cyprus,"49,988","49,988",,268,"2,057","2,057",
Jamaica,"48,810","48,810",,960,"25,936","25,936",
Côte d'Ivoire,"47,511","47,511",18,306,"47,037","47,037",48
Madagascar,"41,758","41,758",16,871,"40,095","40,095",5
Senegal,"41,725","41,725",12,"1,150","40,323","40,323",25
Uganda,"40,734","40,734",,334,"15,147","15,147",
Zimbabwe,"39,321","39,321",83,"1,617","36,756","36,756",10
Angola,"36,004","36,004",150,803,"29,368","29,368",39
Sudan,"36,004","36,004",96,"2,711","29,812","29,812",14
Cambodia,"35,511","35,511",678,278,"28,649","28,649",557
Malawi,"34,410","34,410",7,"1,158","32,686","32,686",11
Democratic Republic of the Congo,"33,577","33,577",,817,"27,794","27,794",
Cape Verde,"31,225","31,225",78,269,"29,908","29,908",82
Malta,"30,572","30,572",1,419,"30,083","30,083",3
Australia,"30,210","30,210",9,-,910,910,
Rwanda,"27,434","27,434",127,364,"26,277","26,277",23
Trinidad and Tobago,"27,079","27,079",280,599,"16,647","16,647",432
Réunion,"26,075","26,075","2,292",203,"25,088","25,088",
French Guiana,"24,935","24,935",210,126,"9,995","9,995",5
Syria,"24,700","24,700",20,"1,799","21,646","21,646",6
Gabon,"24,651","24,651",60,154,"23,180","23,180",365
Guinea,"23,312","23,312",5,164,"21,382","21,382",47
Mauritania,"19,895","19,895",42,470,"18,891","18,891",57
Mayotte,"19,355","19,355",8,173,"2,964","2,964",
French Polynesia,"18,758","18,758",,141,"4,842","4,842",
Eswatini,"18,680","18,680",16,674,"17,912","17,912",6
Guyana,"17,805","17,805",87,416,"15,628","15,628",108
Guadeloupe,"17,108","17,108",,260,"2,250","2,250",
Suriname,"17,041","17,041",255,363,"12,888","12,888",163
Papua New Guinea,"16,398","16,398",24,164,"15,711","15,711",52
Haiti,"15,895","15,895",460,333,"12,557","12,557",8
Somalia,"14,776","14,776",8,773,"6,985","6,985",21
Mali,"14,324","14,324",22,520,"9,882","9,882",2
Andorra,"13,781","13,781",4,127,"13,557","13,557",
Togo,"13,551","13,551",9,125,"13,265","13,265",15
Burkina Faso,"13,454","13,454",1,167,"13,268","13,268",3
Tajikistan,"13,308","13,308",,90,"13,218","13,218",
Belize,"12,909","12,909",10,325,"12,449","12,449",7
Seychelles,"12,466","12,466",,46,"11,336","11,336",
Curaçao,"12,281","12,281",1,123,"12,137","12,137",
Martinique,"12,060","12,060",,97,98,98,
The Bahamas,"12,024","12,024",,232,"11,026","11,026",
Republic of the Congo,"11,920","11,920",,155,"8,208","8,208",
Hong Kong,"11,868","11,868",3,210,"11,584","11,584",
Taiwan,"11,694","11,694",203,308,"1,133","1,133",22
Djibouti,"11,566","11,566",1,154,"11,394","11,394",5
Aruba,"11,064","11,064",5,107,"10,911","10,911",25
Lesotho,"10,839","10,839",2,326,"6,438","6,438",1
South Sudan,"10,688","10,688",,115,"10,514","10,514",
Vietnam,"9,222","9,222",195,55,"3,547","3,547",38
Equatorial Guinea,"8,640","8,640",14,118,"8,303","8,303",100
Benin,"8,082","8,082",,102,"7,893","7,893",
Timor-Leste,"7,764","7,764",,17,"5,515","5,515",
Nicaragua,"7,662","7,662",181,188,"4,225","4,225",1
Northern Cyprus,"7,432","7,432",,33,"7,122","7,122",
Central African Republic,"7,101","7,101",,98,"6,859","6,859",
Yemen,"6,823","6,823",11,"1,336","3,638","3,638",50
Iceland,"6,555","6,555",,29,"6,476","6,476",
The Gambia,"6,002","6,002",,179,"5,800","5,800",
Niger,"5,440","5,440",1,192,"5,135","5,135",3
Saint Lucia,"5,148","5,148",10,80,"4,930","4,930",25
San Marino,"5,090","5,090",,90,"4,998","4,998",
Chad,"4,942","4,942",2,174,"4,762","4,762",2
Burundi,"4,925","4,925",,8,773,773,
Eritrea,"4,597","4,597",98,14,"4,054","4,054",67
Gibraltar,"4,302","4,302",2,94,"4,199","4,199",
Sierra Leone,"4,219","4,219",11,82,"3,161","3,161",3
Barbados,"4,032","4,032",,47,"3,922","3,922",
Comoros,"3,890","3,890",,146,"3,736","3,736",
Guinea-Bissau,"3,790","3,790",3,68,"3,535","3,535",6
Jersey,"3,253","3,253",,69,"3,184","3,184",
Liechtenstein,"3,022","3,022",2,58,"2,944","2,944",
New Zealand,"2,696","2,696",4,26,"2,646","2,646",2
Monaco,"2,511","2,511",3,33,"2,469","2,469",
Bermuda,"2,497","2,497",,33,"2,455","2,455",
Sint Maarten,"2,495","2,495",11,30,"2,390","2,390",12
Turks and Caicos Islands,"2,421","2,421",1,18,"2,387","2,387",
São Tomé and Príncipe,"2,353","2,353",,37,"2,304","2,304",
Liberia,"2,290","2,290",,88,"2,055","2,055",
Saint Vincent and the Grenadines,"2,092","2,092",16,12,"1,856","1,856",11
Saint Martin,"2,040","2,040",,12,"1,399","1,399",
Laos,"1,970","1,970",2,3,"1,773","1,773",53
Bhutan,"1,724","1,724",21,1,"1,416","1,416",11
Caribbean Netherlands,"1,616","1,616",,17,"1,580","1,580",
Isle of Man,"1,598","1,598",,29,"1,562","1,562",
Mauritius,"1,458","1,458",,18,"1,206","1,206",
Antigua and Barbuda,"1,263","1,263",,42,"1,214","1,214",
Saint Barthélemy,"1,005","1,005",,1,462,462,
Fiji,845,845,94,4,234,234,4
Guernsey,823,823,,,14,808,
Faroe Islands,747,747,3,1,709,709,10
Cayman Islands,592,592,5,2,576,576,1
Tanzania,509,509,,21,183,183,
Åland Islands,386,386,,-,-,,
British Virgin Islands,248,248,,1,209,209,
Brunei,246,246,2,3,231,231,
Dominica,188,188,,-,188,188,
Grenada,161,161,,1,160,160,
New Caledonia,128,128,,-,58,58,
Anguilla,109,109,,-,109,109,
Saint Kitts and Nevis,83,83,,-,51,51,
Falkland Islands (Islas Malvinas),63,63,,-,63,63,
Macao,51,51,,-,51,51,
Greenland,43,43,,-,34,34,
Vatican City,27,27,,-,27,27,
Saint Pierre and Miquelon,25,25,,-,25,25,
Montserrat,20,20,,1,19,19,
Western Sahara,10,10,,,1,8,
Cook Islands,1,1,,-,-,,
Turkmenistan,-,,,-,-,,
